"date","weekdays","weekends","phase","daily_total"
2020-04-27,"Monday",FALSE,"red",16260.128687524
2020-04-28,"Tuesday",FALSE,"red",18279.3679726313
2020-04-29,"Wednesday",FALSE,"red",18977.9353520117
2020-04-30,"Thursday",FALSE,"red",11873.109016927
2020-05-01,"Friday",FALSE,"red",22439.7956391754
2020-05-02,"Saturday",TRUE,"red",19187.4915281324
2020-05-03,"Sunday",TRUE,"red",18900.9769390736
2020-05-04,"Monday",FALSE,"red",22169.3769910421
2020-05-05,"Tuesday",FALSE,"red",21171.9049200085
2020-05-06,"Wednesday",FALSE,"red",14320.1762469556
2020-05-07,"Thursday",FALSE,"red",18034.2420711713
2020-05-08,"Friday",FALSE,"yellow",19913.3205255223
2020-05-09,"Saturday",TRUE,"yellow",16971.1252378339
2020-05-10,"Sunday",TRUE,"yellow",13776.2310656584
2020-05-11,"Monday",FALSE,"yellow",22079.9615167635
2020-05-12,"Tuesday",FALSE,"yellow",23609.2932112431
2020-05-13,"Wednesday",FALSE,"yellow",18019.3104440764
2020-05-14,"Thursday",FALSE,"yellow",21116.2536808499
2020-05-15,"Friday",FALSE,"yellow",25207.94538585
2020-05-16,"Saturday",TRUE,"yellow",18943.9322344557
2020-05-17,"Sunday",TRUE,"yellow",14543.9249684939
2020-05-18,"Monday",FALSE,"yellow",25080.7641195463
2020-05-19,"Tuesday",FALSE,"yellow",25293.1476149562
2020-05-20,"Wednesday",FALSE,"yellow",26025.4574711985
2020-05-21,"Thursday",FALSE,"yellow",27473.5861153712
2020-05-22,"Friday",FALSE,"yellow",25337.5087198959
2020-05-23,"Saturday",TRUE,"yellow",20229.2381818946
2020-05-24,"Sunday",TRUE,"yellow",16468.1750685153
2020-05-25,"Monday",FALSE,"yellow",14823.3839471581
2020-05-26,"Tuesday",FALSE,"yellow",17297.1570663637
2020-05-27,"Wednesday",FALSE,"yellow",27424.3964592023
2020-05-28,"Thursday",FALSE,"yellow",26238.914689343
2020-05-29,"Friday",FALSE,"green",26642.1105864761
2020-05-30,"Saturday",TRUE,"green",22368.7624031995
2020-05-31,"Sunday",TRUE,"green",16241.9613027222
2020-06-01,"Monday",FALSE,"green",25033.0670351588
2020-06-02,"Tuesday",FALSE,"green",30563.9384763533
2020-06-03,"Wednesday",FALSE,"green",26534.8130805432
2020-06-04,"Thursday",FALSE,"green",28157.0785615317
2020-06-05,"Friday",FALSE,"green",30340.2722959978
2020-06-06,"Saturday",TRUE,"green",22472.5869859129
2020-06-07,"Sunday",TRUE,"green",17528.6291116188
2020-06-08,"Monday",FALSE,"green",20622.1760677052
2020-06-09,"Tuesday",FALSE,"green",23725.2547903057
2020-06-10,"Wednesday",FALSE,"green",27216.0413949194
2020-06-11,"Thursday",FALSE,"green",25496.4191074851
2020-06-12,"Friday",FALSE,"green",21979.2288267435
2020-06-13,"Saturday",TRUE,"green",17897.7847805379
2020-06-14,"Sunday",TRUE,"green",18078.916843145
2020-06-15,"Monday",FALSE,"green",29201.2862773813
2020-06-16,"Tuesday",FALSE,"green",23636.4156685861
2020-06-17,"Wednesday",FALSE,"green",26006.3142360091
2020-06-18,"Thursday",FALSE,"green",27915.431240863
2020-06-19,"Friday",FALSE,"green",30657.0497317453
2020-06-20,"Saturday",TRUE,"green",19712.9400795371
2020-06-21,"Sunday",TRUE,"green",16943.4772424279
2020-06-22,"Monday",FALSE,"green",23753.2467248105
2020-06-23,"Tuesday",FALSE,"green",27856.3084318761
2020-06-24,"Wednesday",FALSE,"green",26495.8294882856
2020-06-25,"Thursday",FALSE,"green",25844.697688703
2020-06-26,"Friday",FALSE,"green",26978.5852553002
2020-06-27,"Saturday",TRUE,"green",23919.1900460215
2020-06-28,"Sunday",TRUE,"green",18447.3035603313
2020-06-29,"Monday",FALSE,"green",24707.4151370645
2020-06-30,"Tuesday",FALSE,"green",22920.2216065602
2020-07-01,"Wednesday",FALSE,"green",25491.77546701
2020-07-02,"Thursday",FALSE,"green",24698.4215966942
2020-07-03,"Friday",FALSE,"green",26344.6813599149
2020-07-04,"Saturday",TRUE,"green",15835.2266500841
2020-07-05,"Sunday",TRUE,"green",17274.5126996343
2020-07-06,"Monday",FALSE,"green",27779.141740512
2020-07-07,"Tuesday",FALSE,"green",29409.9669504298
2020-07-08,"Wednesday",FALSE,"green",30371.7698112067
2020-07-09,"Thursday",FALSE,"green",27879.357787823
2020-07-10,"Friday",FALSE,"green",30426.1665812456
2020-07-11,"Saturday",TRUE,"green",26225.5885817619
2020-07-12,"Sunday",TRUE,"green",22759.0686296462
2020-07-13,"Monday",FALSE,"green",25877.1619774637
2020-07-14,"Tuesday",FALSE,"green",26056.762967142
2020-07-15,"Wednesday",FALSE,"green",26511.5501291343
2020-07-16,"Thursday",FALSE,"green",32871.6086860034
2020-07-17,"Friday",FALSE,"green",29812.3966976351
2020-07-18,"Saturday",TRUE,"green",20333.8773623275
2020-07-19,"Sunday",TRUE,"green",21028.1024462483
2020-07-20,"Monday",FALSE,"green",27039.8910787177
2020-07-21,"Tuesday",FALSE,"green",33469.3240223699
2020-07-22,"Wednesday",FALSE,"green",29590.0756484822
2020-07-23,"Thursday",FALSE,"green",33162.1558801437
2020-07-24,"Friday",FALSE,"green",32458.9799562372
2020-07-25,"Saturday",TRUE,"green",22965.977144724
2020-07-26,"Sunday",TRUE,"green",18372.2533992676
2020-07-27,"Monday",FALSE,"green",25201.6902873983
2020-07-28,"Tuesday",FALSE,"green",28145.2179718719
2020-07-29,"Wednesday",FALSE,"green",25963.5611427891
2020-07-30,"Thursday",FALSE,"green",36715.7293903614
2020-07-31,"Friday",FALSE,"green",31505.0810251173
2020-08-01,"Saturday",TRUE,"green",26771.5589827838
2020-08-02,"Sunday",TRUE,"green",20672.7368196812
2020-08-03,"Monday",FALSE,"green",30660.7220204588
2020-08-04,"Tuesday",FALSE,"green",19759.829179439
2020-08-05,"Wednesday",FALSE,"green",27789.3266412108
2020-08-06,"Thursday",FALSE,"green",31024.2351824216
2020-08-07,"Friday",FALSE,"green",32431.9937874146
2020-08-08,"Saturday",TRUE,"green",22314.9476598279
2020-08-09,"Sunday",TRUE,"green",16134.9232982752
2020-08-10,"Monday",FALSE,"green",23481.45707023
2020-08-11,"Tuesday",FALSE,"green",27560.3989661468
2020-08-12,"Wednesday",FALSE,"green",30847.4255410979
2020-08-13,"Thursday",FALSE,"green",32787.864608064
